Name,Type,Address,Zip Code
"('The Marketplace Café',)",sandwiches,"('53 North St',)","('01201',)"
"(""Hot Harry's Fresh Burritos"",)",mexican,"('37 North St',)","('01201',)"
"(""McDonald's"",)",burgers,"('445 W Housatonic St',)","('01201',)"
"(""Otto's Kitchen & Comfort"",)",breakfast_brunch,"('95 East St',)","('01201',)"
"('Burger King',)",burgers,"('29 1st St',)","('01201',)"
"('The Lantern Bar & Grill',)",newamerican,"('455 North St',)","('01201',)"
"('Empire Pizza Restaurant',)",pizza,"('413 North St',)","('01201',)"
"('Panchos Mexican Restaurant',)",mexican,"('154 North St',)","('01201',)"
"('Ginos Pizza and Grill',)",pizza,"('1206 North St',)","('01201',)"
"(""Tito's Mexican Grill"",)",mexican,"('34 Depot St',)","('01201',)"
"(""McDonald's"",)",coffee,"('2 Commercial St',)","('01220',)"
"('Taco Bell',)",mexican,"('1264 Boston Road',)","('01119',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('665 Boston Rd',)","('01119',)"
"('Burger King',)",burgers,"('419 Center St',)","('01056',)"
"('KFC',)",chickenshop,"('1324 Boston Rd',)","('01129',)"
"('Wings Over Springfield',)",chicken_wings,"('1219 Parker St',)","('01129',)"
"('KFC',)",hotdogs,"('481 Center St',)","('01056',)"
"(""McDonald's"",)",hotdogs,"('420 Center St',)","('01056',)"
"('Taco Bell',)",mexican,"('343 Center Street',)","('01056',)"
"(""Wendy's"",)",burgers,"('757 Boston Road',)","('01119',)"
"(""McDonald's"",)",coffee,"('1610 Boston Post Rd',)","('01119',)"
"(""McDonald's"",)",burgers,"('771 Page Blvd',)","('01104',)"
"('Golden Corral Buffet & Grill',)",tradamerican,"('436 Parker St',)","('01129',)"
"(""McDonald's"",)",coffee,"('809 Boston Rd',)","('01109',)"
"(""Randall's Farm"",)",markets,"('631 Center St',)","('01056',)"
"(""McDonald's"",)",hotdogs,"('350 Burnett Rd',)","('01020',)"
"('Burger King',)",burgers,"('755 Page Blvd',)","('01104',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Burger King',)",burgers,"('727 Boston Rd',)","('01119',)"
"('Mykonos',)",greek,"('1655 Boston Rd',)","('01129',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"('Subway',)",sandwiches,"('477 Center St',)","('01056',)"
"('Taco Bell',)",mexican,"('298 Memorial Ave',)","('01089',)"
"('KFC',)",hotdogs,"('632 State St',)","('01109',)"
"('Hot Table',)",sandwiches,"('455 Breckwood Blvd',)","('01109',)"
"(""McDonald's"",)",burgers,"('2392 Main St',)","('01107',)"
"(""Chicked's Chicken And Grill"",)",chicken_wings,"('1375 Carew St',)","('01104',)"
"('Chipotle Mexican Grill',)",mexican,"('219 Memorial Ave',)","('01089',)"
"('Chesters Chicken Shamrock Market',)",convenience,"('1116 StJames Ave',)","('01104',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('Plan B Burger Bar',)",burgers,"('1000 W Columbus Ave',)","('01105',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Burger King',)",burgers,"('1395 Liberty St',)","('01104',)"
"(""McDonald's"",)",burgers,"('660 Liberty St',)","('01103',)"
"('Sol Karibe',)",bars,"('1236 Main St',)","('01103',)"
"('Chipotle Mexican Grill',)",mexican,"('530 Memorial Dr',)","('01020',)"
"(""McDonald's"",)",burgers,"('771 Page Blvd',)","('01104',)"
"('Jamaica Spice Paradise',)",caribbean,"('2 Wilmont St',)","('01108',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"('Jackies Pizza',)",pizza,"('4 Kendall St',)","('01104',)"
"('Frigo Gourmet Foods',)",delis,"('90 William St',)","('01105',)"
"(""Fratelli's Eatery"",)",hotdogs,"('450 Plumtree Rd',)","('01118',)"
"('Burger King',)",burgers,"('755 Page Blvd',)","('01104',)"
"(""McDonald's"",)",hotdogs,"('360 Main St',)","('01105',)"
"('Taco Bell',)",hotdogs,"('456 Sumner Ave',)","('01108',)"
"('Taco Bell',)",hotdogs,"('633 Liberty St.',)","('01104',)"
"(""Dewey's Jazz Lounge"",)",cocktailbars,"('232 Worthington St',)","('01103',)"
"('The Collegian Court',)",polish,"('89 Park St',)","('01013',)"
"('Five Guys',)",burgers,"('474 B Memorial Dr',)","('01020',)"
"('Crown Fried Chicken and Pizza',)",pizza,"('1208 Main St',)","('01103',)"
"('Mr. Cone',)",hotdogs,"('1048 Granby Rd',)","('01020',)"
"('99 Restaurants',)",hotdogs,"('555 Memorial Dr',)","('01020',)"
"('Uno Pizzeria & Grill',)",pizza,"('820 W Columbus Ave',)","('01105',)"
"('Taco Bell',)",mexican,"('2433 Main Street',)","('01104',)"
"(""McDonald's"",)",hotdogs,"('639 Memorial Dr',)","('01020',)"
"(""McDonald's"",)",hotdogs,"('350 Burnett Rd',)","('01020',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"(""McDonald's"",)",hotdogs,"('429 Memorial Ave',)","('01089',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"('Krispy Krunchy Chicken',)",breakfast_brunch,"('172 White St',)","('01108',)"
"(""McDonald's"",)",hotdogs,"('777 Meadow St',)","('01013',)"
"('Classic Burgers',)",burgers,"('1261 Westfield St',)","('01089',)"
"(""McDonald's"",)",burgers,"('2392 Main St',)","('01107',)"
"('Panera Bread',)",sandwiches,"('935 Riverdale Street',)","('01089',)"
"('Chipotle Mexican Grill',)",mexican,"('219 Memorial Ave',)","('01089',)"
"(""Wendy's"",)",burgers,"('288 Park Street',)","('01089',)"
"('KFC',)",hotdogs,"('931 Riverdale St',)","('01089',)"
"(""McDonald's"",)",hotdogs,"('352 Riverdale Rd',)","('01089',)"
"('Bueno Y Sano',)",mexican,"('935 Riverdale St',)","('01089',)"
"('Pizza Hut',)",pizza,"('1048 Riverdale St',)","('01089',)"
"(""Wendy's"",)",burgers,"('1290 Saint James Ave',)","('01104',)"
"('Burger King',)",burgers,"('983 Riverdale St',)","('01089',)"
"('Greek Place',)",tradamerican,"('50 Holyoke St',)","('01040',)"
"('Chesters Chicken Shamrock Market',)",convenience,"('1116 StJames Ave',)","('01104',)"
"(""McDonald's"",)",hotdogs,"('360 Main St',)","('01105',)"
"('Plan B Burger Bar',)",burgers,"('1000 W Columbus Ave',)","('01105',)"
"('KFC',)",hotdogs,"('632 State St',)","('01109',)"
"('Frigo Gourmet Foods',)",delis,"('90 William St',)","('01105',)"
"('Taco Bell',)",mexican,"('25 Morgan Road',)","('01089',)"
"('Jamaica Spice Paradise',)",caribbean,"('2 Wilmont St',)","('01108',)"
"(""McDonald's"",)",burgers,"('660 Liberty St',)","('01103',)"
"('Sol Karibe',)",bars,"('1236 Main St',)","('01103',)"
"('On The Border Mexican Grill & Cantina - West Springfield',)",mexican,"('33 Border Way',)","('01089',)"
"('The Collegian Court',)",polish,"('89 Park St',)","('01013',)"
"(""Chicked's Chicken And Grill"",)",chicken_wings,"('1375 Carew St',)","('01104',)"
"(""Dewey's Jazz Lounge"",)",cocktailbars,"('232 Worthington St',)","('01103',)"
"('Tandem Bagel Company',)",breakfast_brunch,"('95 Elm St',)","('01089',)"
"('Pride Stores',)",servicestations,"('757 Riverdale St',)","('01089',)"
"('Crown Fried Chicken and Pizza',)",pizza,"('1208 Main St',)","('01103',)"
"('Jackies Pizza',)",pizza,"('4 Kendall St',)","('01104',)"
"('Taco Bell',)",mexican,"('2433 Main Street',)","('01104',)"
"('Taco Bell',)",hotdogs,"('456 Sumner Ave',)","('01108',)"
"('Burger King',)",burgers,"('1395 Liberty St',)","('01104',)"
"(""McDonald's"",)",hotdogs,"('429 Memorial Ave',)","('01089',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('99 Restaurants',)",pubs,"('1053 Riverdale St',)","('01089',)"
"(""Cal's Wood-Fired Grill & Wine Bar"",)",seafood,"('1068 Riverdale St',)","('01089',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"('Uno Pizzeria & Grill',)",pizza,"('820 W Columbus Ave',)","('01105',)"
"('Taco Bell',)",hotdogs,"('633 Liberty St.',)","('01104',)"
"('Olive Garden Italian Restaurant',)",italian,"('919 Riverdale St',)","('01089',)"
"(""McDonald's"",)",hotdogs,"('777 Meadow St',)","('01013',)"
"('Storrowton Tavern & Carriage House',)",tradamerican,"('1305 Memorial Ave',)","('01089',)"
"('Pride',)",servicestations,"('167 Chicopee St',)","('01013',)"
"('Sonic Drive-In',)",hotdogs,"('1057 Boston Rd',)","('01119',)"
"('KFC',)",hotdogs,"('632 State St',)","('01109',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('Chesters Chicken Shamrock Market',)",convenience,"('1116 StJames Ave',)","('01104',)"
"('Plan B Burger Bar',)",burgers,"('1000 W Columbus Ave',)","('01105',)"
"('Jamaica Spice Paradise',)",caribbean,"('2 Wilmont St',)","('01108',)"
"(""Chicked's Chicken And Grill"",)",chicken_wings,"('1375 Carew St',)","('01104',)"
"('Frigo Gourmet Foods',)",delis,"('90 William St',)","('01105',)"
"(""Bentley's Café"",)",cafes,"('1142 Berkshire Ave',)","('01151',)"
"(""Wendy's"",)",hotdogs,"('1420 Allen St.',)","('01118',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"(""McDonald's"",)",burgers,"('771 Page Blvd',)","('01104',)"
"('Taco Bell',)",hotdogs,"('456 Sumner Ave',)","('01108',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Sabores',)",mexican,"('1490 Allen St',)","('01118',)"
"(""Dewey's Jazz Lounge"",)",cocktailbars,"('232 Worthington St',)","('01103',)"
"('Jackies Pizza',)",pizza,"('4 Kendall St',)","('01104',)"
"('Sol Karibe',)",bars,"('1236 Main St',)","('01103',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"('Burger King',)",burgers,"('755 Page Blvd',)","('01104',)"
"('Uno Pizzeria & Grill',)",pizza,"('820 W Columbus Ave',)","('01105',)"
"(""Wendy's"",)",burgers,"('757 Boston Road',)","('01119',)"
"(""McDonald's"",)",hotdogs,"('1402 Allen St',)","('01118',)"
"('Crown Fried Chicken and Pizza',)",pizza,"('1208 Main St',)","('01103',)"
"(""McDonald's"",)",burgers,"('660 Liberty St',)","('01103',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"(""McDonald's"",)",coffee,"('809 Boston Rd',)","('01109',)"
"('Burger King',)",burgers,"('1395 Liberty St',)","('01104',)"
"('Taco Bell',)",hotdogs,"('633 Liberty St.',)","('01104',)"
"('The Souper Sweet Sandwich Shop',)",sandwiches,"('929 Belmont Ave',)","('01108',)"
"('Krispy Krunchy Chicken',)",breakfast_brunch,"('172 White St',)","('01108',)"
"('Burger King',)",burgers,"('727 Boston Rd',)","('01119',)"
"(""Fratelli's Eatery"",)",hotdogs,"('450 Plumtree Rd',)","('01118',)"
"(""Wendy's"",)",hotdogs,"('1420 Allen St.',)","('01118',)"
"('KFC',)",chickenshop,"('1324 Boston Rd',)","('01129',)"
"(""Wendy's"",)",burgers,"('757 Boston Road',)","('01119',)"
"('Sabores',)",mexican,"('1490 Allen St',)","('01118',)"
"(""McDonald's"",)",hotdogs,"('1402 Allen St',)","('01118',)"
"(""McDonald's"",)",coffee,"('1610 Boston Post Rd',)","('01119',)"
"(""McDonald's"",)",coffee,"('809 Boston Rd',)","('01109',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"(""McDonald's"",)",burgers,"('771 Page Blvd',)","('01104',)"
"('Burger King',)",burgers,"('419 Center St',)","('01056',)"
"('Golden Corral Buffet & Grill',)",tradamerican,"('436 Parker St',)","('01129',)"
"(""McDonald's"",)",hotdogs,"('420 Center St',)","('01056',)"
"('Burger King',)",burgers,"('400 Cooley St',)","('01128',)"
"('Mykonos',)",greek,"('1655 Boston Rd',)","('01129',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Taco Bell',)",mexican,"('343 Center Street',)","('01056',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"('Burger King',)",burgers,"('755 Page Blvd',)","('01104',)"
"('Burger King',)",burgers,"('727 Boston Rd',)","('01119',)"
"('The Souper Sweet Sandwich Shop',)",sandwiches,"('929 Belmont Ave',)","('01108',)"
"(""McDonald's"",)",hotdogs,"('350 Burnett Rd',)","('01020',)"
"('Jamaica Spice Paradise',)",caribbean,"('2 Wilmont St',)","('01108',)"
"('Frigo Gourmet Foods',)",delis,"('90 William St',)","('01105',)"
"('KFC',)",hotdogs,"('632 State St',)","('01109',)"
"('Sol Karibe',)",bars,"('1236 Main St',)","('01103',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"('Uno Pizzeria & Grill',)",pizza,"('820 W Columbus Ave',)","('01105',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('Panera Bread',)",sandwiches,"('935 Riverdale Street',)","('01089',)"
"(""McDonald's"",)",burgers,"('2392 Main St',)","('01107',)"
"('Chesters Chicken Shamrock Market',)",convenience,"('1116 StJames Ave',)","('01104',)"
"(""Dewey's Jazz Lounge"",)",cocktailbars,"('232 Worthington St',)","('01103',)"
"('Crown Fried Chicken and Pizza',)",pizza,"('1208 Main St',)","('01103',)"
"(""McDonald's"",)",hotdogs,"('429 Memorial Ave',)","('01089',)"
"('Bueno Y Sano',)",mexican,"('935 Riverdale St',)","('01089',)"
"(""Chicked's Chicken And Grill"",)",chicken_wings,"('1375 Carew St',)","('01104',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"('Burger King',)",burgers,"('1395 Liberty St',)","('01104',)"
"('Jackies Pizza',)",pizza,"('4 Kendall St',)","('01104',)"
"(""McDonald's"",)",burgers,"('660 Liberty St',)","('01103',)"
"(""Wendy's"",)",burgers,"('1290 Saint James Ave',)","('01104',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Taco Bell',)",hotdogs,"('633 Liberty St.',)","('01104',)"
"('Krispy Krunchy Chicken',)",breakfast_brunch,"('172 White St',)","('01108',)"
"('Taco Bell',)",mexican,"('2433 Main Street',)","('01104',)"
"('The Souper Sweet Sandwich Shop',)",sandwiches,"('929 Belmont Ave',)","('01108',)"
"(""McDonald's"",)",burgers,"('771 Page Blvd',)","('01104',)"
"('Burger King',)",burgers,"('755 Page Blvd',)","('01104',)"
"('Storrowton Tavern & Carriage House',)",tradamerican,"('1305 Memorial Ave',)","('01089',)"
"('Hot Table',)",sandwiches,"('455 Breckwood Blvd',)","('01109',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"('Frigo Gourmet Foods',)",delis,"('90 William St',)","('01105',)"
"('KFC',)",hotdogs,"('632 State St',)","('01109',)"
"(""Fratelli's Eatery"",)",hotdogs,"('450 Plumtree Rd',)","('01118',)"
"('Frigo Foods',)",delis,"('159 Shaker Rd',)","('01028',)"
"('Uno Pizzeria & Grill',)",pizza,"('820 W Columbus Ave',)","('01105',)"
"('Sol Karibe',)",bars,"('1236 Main St',)","('01103',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('Crown Fried Chicken and Pizza',)",pizza,"('1208 Main St',)","('01103',)"
"('The Souper Sweet Sandwich Shop',)",sandwiches,"('929 Belmont Ave',)","('01108',)"
"(""Dewey's Jazz Lounge"",)",cocktailbars,"('232 Worthington St',)","('01103',)"
"(""McDonald's"",)",burgers,"('2392 Main St',)","('01107',)"
"('Krispy Krunchy Chicken',)",breakfast_brunch,"('172 White St',)","('01108',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"(""McDonald's"",)",hotdogs,"('429 Memorial Ave',)","('01089',)"
"('Jackies Pizza',)",pizza,"('4 Kendall St',)","('01104',)"
"('Taco Bell',)",hotdogs,"('633 Liberty St.',)","('01104',)"
"(""McDonald's"",)",burgers,"('660 Liberty St',)","('01103',)"
"('Taco Bell',)",mexican,"('2433 Main Street',)","('01104',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"('Wings Over Springfield',)",chicken_wings,"('1219 Parker St',)","('01129',)"
"('Jamaica Spice Paradise',)",caribbean,"('2 Wilmont St',)","('01108',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('665 Boston Rd',)","('01119',)"
"('Burger King',)",burgers,"('400 Cooley St',)","('01128',)"
"(""McDonald's"",)",hotdogs,"('782 State St',)","('01105',)"
"('New York Fried Chicken & Pizza',)",hotdogs,"('770 Bay St Springfield Ma',)","('01109',)"
"('The Souper Sweet Sandwich Shop',)",sandwiches,"('929 Belmont Ave',)","('01108',)"
"(""Chicked's Chicken And Grill"",)",chicken_wings,"('1375 Carew St',)","('01104',)"
"('Ixtapa',)",mexican,"('355 Belmont Ave',)","('01108',)"
"('Chipotle Mexican Grill',)",hotdogs,"('42 Center Sq',)","('01028',)"
"('Krispy Krunchy Chicken',)",hotdogs,"('1112 Bay St',)","('01109',)"
"('Taco Bell',)",mexican,"('464 Breckwood Blvd',)","('01109',)"
"(""Wendy's"",)",burgers,"('757 Boston Road',)","('01119',)"
"('Krispy Krunchy Chicken',)",breakfast_brunch,"('172 White St',)","('01108',)"
"(""McDonald's"",)",coffee,"('809 Boston Rd',)","('01109',)"
"('Burger King',)",burgers,"('727 Boston Rd',)","('01119',)"
"('Bueno Y Sano',)",mexican,"('935 Riverdale St',)","('01089',)"
"('Pizza Hut',)",pizza,"('1048 Riverdale St',)","('01089',)"
"('Charleys Philly Steaks',)",sandwiches,"('50 Holyoke St',)","('01040',)"
"('Burger King',)",burgers,"('983 Riverdale St',)","('01089',)"
"('Pride Stores',)",servicestations,"('757 Riverdale St',)","('01089',)"
"('On The Border Mexican Grill & Cantina - West Springfield',)",mexican,"('33 Border Way',)","('01089',)"
"(""McDonald's"",)",burgers,"('2392 Main St',)","('01107',)"
"('Tandem Bagel Company',)",breakfast_brunch,"('95 Elm St',)","('01089',)"
"('Greek Place',)",tradamerican,"('50 Holyoke St',)","('01040',)"
"('99 Restaurants',)",pubs,"('1053 Riverdale St',)","('01089',)"
"('The Collegian Court',)",polish,"('89 Park St',)","('01013',)"
"(""Cal's Wood-Fired Grill & Wine Bar"",)",seafood,"('1068 Riverdale St',)","('01089',)"
"(""McDonald's"",)",hotdogs,"('429 Memorial Ave',)","('01089',)"
"('Taco Bell',)",mexican,"('2433 Main Street',)","('01104',)"
"(""McDonald's"",)",burgers,"('50 Holyoke St',)","('01040',)"
"('Olive Garden Italian Restaurant',)",italian,"('919 Riverdale St',)","('01089',)"
"('Pride',)",servicestations,"('167 Chicopee St',)","('01013',)"
"(""McDonald's"",)",hotdogs,"('777 Meadow St',)","('01013',)"
"('Storrowton Tavern & Carriage House',)",tradamerican,"('1305 Memorial Ave',)","('01089',)"
